mepid,id,name
6113,96958,(The Earl of) Dartmouth
6602,124990,Adaktusson
6755,189525,Ademov
6468,124831,Adinolfi
6431,124797,Affronte
6445,124811,Agea
6066,96897,Agnew
6651,125045,Aguilera García
6480,124842,Aiuto
6559,99650,Aker
6654,125048,Albiol Guzmán
5910,96736,Albrecht
5682,34250,Ali
6451,30190,Aliot
1340,1179,Alliot-Marie
6606,124994,Andersson
6279,113892,Andrieu
5395,28276,Andrikienė
6687,125110,Androulakis
6593,124973,Annemans
6327,124696,Ansip
6553,124936,Arena
6594,24922,Arimont
6382,124748,Arnautu
6577,124958,Arnott
6407,124773,Arthuis
5262,28132,Ashworth
5426,28307,Assis
6555,124938,Atkinson
5291,28161,Auken
6400,124766,Auštrevičius
5411,28292,Ayala Sender
4742,4319,Ayuso
6191,97293,Bach
6378,124744,Balas
6048,96877,Balczó
6135,96997,Balz
5866,96680,Balčytis
6509,124871,Barekov
6574,124956,Bashir
5567,28497,Batten
6394,124760,Bay
6611,125002,Bayet
6110,96955,Bearder
6646,125040,Becerra Basterrechea
6216,107041,Becker
6411,124777,Beghin
4911,4507,Belder
5377,28257,Belet
5885,96705,Bendtsen
6505,124867,Benifei
6723,135490,Benito Ziluaga
6374,124740,Bergeron
3972,1985,Berès
6456,124819,Bettini
5173,23868,Beňová
6089,96922,Bilbao Barandica
6405,124771,Bilde
6179,97198,Bizzotto
6604,124992,Björk
6650,125044,Blanco López
5867,96681,Blinkevičiūtė
6343,124712,Bocskor
6613,125004,Bogovič
6449,124814,Bonafè
6535,124896,Boni
5010,21817,Borghezio
6430,124796,Borrelli
6264,112748,Borzan
6583,124964,Bours
6387,124753,Boutonnet
5918,96744,Bové
6595,124984,Boylan
5768,39711,Boştinaru
5768,39711,Boștinaru
4944,4540,Bradbourn
6572,124954,Brannen
5465,28346,Bresso
6421,124787,Briano
6391,124757,Briois
1278,1263,Brok
6455,124818,Buchner
6617,125012,Buda
4690,4267,Bullmann
6748,188733,Bullock
6507,124869,Buonanno
5388,28269,Buzek
5729,38420,Buşoi
5729,38420,Bușoi
1507,1037,Böge
5913,96739,Bütikofer
6647,125041,Cabezón Ruiz
6021,96849,Cadec
6708,129407,Calvet Chambon
6081,96912,Campbell Bannerman
6489,124851,Caputo
6598,124986,Carthy
6590,124971,Carver
5252,28122,Casa
5341,28219,Caspary
6446,124812,Castaldo
5328,28206,Cavada
6605,124993,Ceballos
5554,28451,Cesa
6339,124708,Charanzová
6386,124752,Chauprade
5835,96603,Childers
6499,124861,Chinnici
5237,26851,Chountis
5284,28154,Christensen
5236,26837,Christoforou
6660,125061,Chrysogonos
6492,124854,Cicu
6731,183793,Ciocca
6406,124772,Cirio
6600,124988,Clune
6586,124967,Coburn
3800,1892,Coelho
6083,96915,Cofferati
6273,112788,Collin-Langen
6573,124955,Collins
6765,191510,Colombier
5948,96775,Comi
6587,124968,Comodini Cachia
5861,96674,Corazza Bildt
4628,2309,Corbett
4761,4338,Cornillet
6494,124856,Corrao
6085,96917,Costa
6701,125997,Couso Permuy
6051,96880,Cozzolino
5358,28238,Cramer
5661,33997,Creţu
6616,40224,Cristea
6548,124930,Csáky
5490,28372,Czarnecki
6719,132925,Czesak
6472,124835,D'Amato
6384,124750,D'Ornano
6712,35135,Dalton
6730,183338,Dalunde
6570,124952,Dance
5921,96747,Danjean
6458,124821,Danti
6194,97296,Dantin
6172,72775,Dati
6226,109337,De Backer
6062,96891,De Castro
6496,124858,De Masi
6437,124803,De Monte
6364,124732,Delahaye
6345,124714,Deli
6040,96868,Delli
6410,124776,Delvaux
6410,124776,Delvaux-Stehres
6291,117477,Demesmaeker
5816,94282,Denanot
1060,1473,Deprez
6763,190799,Detjen
5998,96826,Deutsch
4960,4556,Deva
5350,28228,Deß
6439,124805,Diaconu
6762,190774,Didier
6340,124709,Dlabajová
6106,96951,Dodds
6516,124878,Dohrmann
5601,28618,Dombrovskis
6481,124843,Donchev
5960,96787,Dorfmann
6420,124786,Drăghici
6538,124899,Duda
6579,124960,Duncan
6324,124693,Durand
6511,124873,Dzhambazki
5515,28397,Díaz de Mera García Consuegra
5829,95281,Dăncilă
6642,125036,Echenique
6501,124863,Eck
5348,28226,Ehler
5899,96725,Eickhout
6741,188445,Elissen
6047,96876,Engel
6703,128588,Engström
6669,125071,Epitideios
6342,124711,Erdős
6554,124937,Eriksson
6024,96852,Ernst
6014,96842,Ertug
5983,96811,Estaràs Ferragut
6569,124951,Etheridge
4954,4550,Evans
6413,124779,Evi
6080,96911,Fajon
4929,4525,Farage
6679,125101,Faria
6601,124989,Federley
3833,1917,Ferber
6068,96899,Fernandes
6652,125046,Fernández
6401,124767,Ferrand
6770,192634,Ferrandino
6470,124833,Ferrara
5886,96706,Ferreira
6558,124941,Finch
5903,96729,Fisas Ayxelà
4880,4465,Fitto
5256,28126,Fjellner
6743,188623,Flack
6597,124985,Flanagan
5173,23868,Flašíková Beňová
6012,96840,Fleckenstein
1508,1038,Florenz
6132,96993,Fontana
6104,96949,Ford
6693,125193,Forenza
4957,4553,Foster
5472,28353,Fotyga
6668,125070,Fountoulis
6112,96957,Fox
6775,193273,Franz
6620,125018,Freund
6424,124790,Frunzulică
6769,192465,Gabelic
4659,2341,Gahler
6615,125006,Gambús
5417,28298,García Pérez
6130,96991,Gardiazabal Rubial
5803,58758,Gardini
6454,124817,Gasbarra
3827,1913,Gebhardt
6005,96833,Geier
6485,124847,Gentile
6098,96940,Gerbrandy
6452,124815,Gericke
5495,28377,Geringer de Oedenberg
5904,96730,Giegold
5497,28379,Gierek
6441,124807,Gieseke
6584,124965,Gill
4937,4533,Gill CBE
6724,135491,Giménez Barbat
6658,125052,Girauta Vidal
6111,96956,Girling
6502,124864,Giuffrida
472,1654,Glezos
6772,193080,Gloanec Maurin
6450,21331,Goddyn
1793,840,Goerens
1380,1164,Gollnisch
5425,28306,Gomes
6702,127330,González Peñas
6632,125027,González Pons
6539,124900,Gosiewska
6169,97137,Goulard
6688,125112,Grammatikakis
6419,124785,Grapini
6720,133316,Graswander-Hainz
5330,28208,Griesbeck
6580,124961,Griffin
6379,124745,Grigule
6379,124745,Grigule-Pēterse
5692,34728,Groote
4032,2025,Grossetête
5109,23785,Grzyb
5342,28220,Gräßle
5963,96790,Gróbarczyk
6063,96892,Gualtieri
5941,96768,Guerrero Salom
6107,96952,Guillaume
6397,124763,Guoga
6603,124991,Guteland
6212,103488,Gutiérrez Prieto
5138,23816,Gyürk
5280,28150,Gál
6202,102886,Gáll-Pelcz
6076,96907,Hadjigeorgiou
6358,124727,Halla-aho
4959,4555,Hannan
5246,28116,Harkin
5353,28233,Harms
4535,2054,Hautala
6596,118658,Hayes
6628,125023,Hazekamp
5261,28131,Hedh
5715,37448,Hellvig
4920,4516,Helmer
6460,124823,Henkel
5018,22418,Herranz García
6534,124895,Hetman
6486,124848,Heubuch
6043,96872,Hirsch
6725,135540,Hoc
6479,124841,Hoffmann
5953,96780,Hohlmeier
4994,5846,Honeyball
6575,124957,Hookem
4987,5565,Hortefeux
6745,188636,Howarth
4103,2073,Howitt
4655,2338,Hudghton
6622,58789,Huitema
5681,34249,Hyusmenova
6023,96851,Händel
5926,96752,Häusling
5254,28124,Hökmark
6346,124715,Hölvényi
5952,96779,Hübner
6685,125108,Ide
6637,125031,Iglesias
5738,38605,Iotova
5516,28398,Iturgaiz
6029,96857,Ivan
6524,124886,Iwaszkiewicz
5870,96684,Jaakonsaari
6520,124882,Jackiewicz
5914,96740,Jadot
5945,96772,Jahr
6388,124754,Jakovčić
6404,124770,Jalkh
6556,124939,James
6751,189065,Jamet
6635,125029,Jansen
5954,96781,Jazłowiecka
6338,124707,Ježek
6640,125034,Jiménez Villarejo
5978,96806,Jiménez-Becerril Barrio
6054,96883,Joly
6624,125021,Jongerius
6360,124728,Joulaud
6657,125051,Juaristi Abaunz
6531,124892,Jurek
6055,96884,Juvin
5271,28141,Járóka
6161,97078,Jáuregui Atondo
6350,124721,Jávor
5433,28314,Jäätteenmäki
6146,97014,Kadenbach
6686,125109,Kaili
5944,96771,Kalinowski
6328,124697,Kallas
6095,96934,Kalniete
5630,33569,Kamall
6009,96837,Kammerevert
6629,125024,Kappel
4669,4246,Karas
6313,122885,Kari
5563,28481,Karim
6070,96901,Kariņš
6514,124876,Karlsson
6525,124887,Karski
6661,125062,Katrougkalos
3756,1849,Kaufmann
6666,125068,Kefalogiannis
5542,28424,Kelam
5855,96668,Kelly
6581,124962,Khan
4946,4542,Kirkhope
6571,124953,Kirton-Darling
5364,28244,Klinz
3759,1852,Koch
6508,124870,Kofod
5450,28331,Kohlíček
6739,186884,Kohn
5039,23699,Konečná
6517,124879,Korwin-Mikke
6713,130833,Kouloglou
6495,124857,Kouroumbashev
6196,97968,Kovatchev
6527,124889,Kozłowska-Rajewicz
6530,124891,Krasnodębski
3761,1854,Krehl
5453,28334,Krupa
5403,28284,Kudrycka
5940,96767,Kuhn
5840,96651,Kukan
6367,124735,Kumpula-Natri
6675,125092,Kuneva
5507,28389,Kuźmiuk
6435,124801,Kyenge
6369,124736,Kyllönen
6689,125113,Kyrkos
6662,125063,Kyrtsos
6504,124866,Kyuchyuk
6001,96829,Kósa
6461,124824,Kölmel
6459,124822,Köster
6053,96882,Köstinger
6726,135541,Kłosowski
5988,96816,La Via
6740,188254,Lalonde
1350,1204,Lamassoure
4935,4531,Lambert
5838,96648,Lamberts
5362,28242,Lambsdorff
6771,192635,Lancini
6393,124759,Landsbergis
3823,1909,Lange
3856,1928,Langen
6329,124698,Lauristin
6363,124731,Lavrilleux
6200,101580,Le Grip
5909,96735,Le Hyaric
1529,1023,Le Pen
6372,124738,Lebreton
6746,188718,Lechevalier
5969,96796,Legutko
5371,28251,Leichtfried
4685,4262,Leinen
6592,95074,Lenaers
5105,23781,Lewandowski
6561,124943,Lewer
5094,23768,Liberadzki
3855,1927,Liese
6477,124839,Lietz
6442,124808,Lins
5902,96728,Lochbihler
6699,125684,Loiseau
6704,128717,Loones
5938,96765,Lope Fontagné
6457,124820,Lucke
5860,96673,Ludvigsson
6149,97017,Lunacek
6608,124996,Lundgren
6648,125042,López
5984,96812,López Aguilar
6653,125047,López Bermejo
5517,28399,López-Istúriz White
6026,96854,Lösing
5862,96675,Lövin
5889,96709,Løkkegaard
6448,84175,Mach
5996,96824,Macovei
6633,97513,Maeijer
6303,119436,Maletić
6245,111027,Malinov
6692,125192,Maltese
6380,124746,Mamikins
6761,190713,Mandl
3845,1922,Mann
6355,124725,Manscour
6550,124933,Maragall
6732,26146,Marcellesi
6667,125069,Marias
5646,33982,Marinescu
6376,124742,Marinho e Pinto
6465,124828,Martusciello
6533,124894,Marusik
5985,96813,Matera
5992,96820,Matias
6096,96936,Mato
6742,188622,Matthews
6721,133326,Maullu
6645,125039,Maura Barandiarán
6354,24505,Maurel
6322,124691,Mavrides
6483,98341,Maydell
6627,38511,Mayer
6402,124768,Mazuronis
5314,28192,Maňka
5044,23704,Maštálka
6440,124806,McAllister
4646,2327,McAvan
6087,96919,McClarkin
5245,28115,McGuinness
6234,111011,McIntyre
6041,96870,Meissner
6476,124838,Melior
6121,96978,Melo
5851,96663,Messerschmidt
6349,124720,Meszerics
6297,118859,Metsola
6776,193292,Metz
6759,190518,Meuthen
5857,96670,Michel
6310,120478,Michels
6690,125128,Mihaylova
5308,28178,Mikolášik
5518,28400,Millán Mon
6643,125037,Mineur
6251,24942,Miranda
6767,191695,Mitrofanovs
6296,118858,Mizzi
6631,125026,Mlinar
6752,189391,Mobarik
6497,124859,Moi
6423,124789,Moisă
6351,124722,Molnár
6395,124761,Monot
6366,124734,Monteiro de Aguiar
6403,124769,Montel
6562,124944,Moody
4923,4519,Moraes
6368,72779,Morano
6433,124799,Moretti
6422,124788,Morgano
5732,38596,Morin-Chartier
5849,96661,Morvai
6506,124868,Mosca
6436,124802,Mureşan
6436,124802,Mureșan
6361,124729,Muselier
5547,28429,Mussolini
5916,96742,Mélenchon
6399,124765,Mélin
6500,124862,Müller
5774,39717,Mănescu
6760,190519,Nagtegaal
6544,124926,Nagy
6614,125005,Nart
6691,88882,Negrescu
6618,125013,Nekov
6016,96844,Neuser
3899,1946,Neyts-Uyttebroeck
6418,124784,Nica
1230,1318,Nicholson
5997,96825,Nicolai
4712,4289,Niebler
6332,124701,Niedermayer
6352,124723,Niedermüller
6242,111024,Nilsson
6473,124836,Noichl
6709,107212,Novakov
5977,96805,Nuttall
6599,124987,Ní Riada
6557,124940,O'Flynn
6123,96981,Obermayr
5407,28288,Olbrycht
6250,30482,Omarjee
6536,124897,Ożóg
6377,124743,Pabriks
6156,97025,Padar
6705,129073,Paet
6644,125038,Pagazaurtundúa Ruiz
5875,96694,Paksas
6756,190099,Palmer
5483,28365,Panzeri
6487,124849,Paolucci
5596,28586,Papadimoulis
6103,96948,Pargneaux
6563,124945,Parker
5702,36392,Patriciello
4693,4270,Paulsen
6483,98341,Paunova
6707,129256,Pavel
6754,189507,Payne
5648,33984,Paşcu
5648,33984,Pașcu
6482,124844,Pedicini
5296,28166,Peillon
5033,23693,Peterle
6510,124872,Petersen
6383,124749,Petir
6474,110977,Philippot
6484,124846,Picierno
6261,112744,Picula
6512,124874,Piecha
5346,28224,Pieper
5788,40599,Pietikäinen
6727,136236,Pimenta Lopes
5460,28341,Piotrowski
6625,37229,Piri
6493,124855,Pirinski
6537,124898,Pitera
4851,4436,Pittella
6268,112755,Plenković
6519,124881,Plura
5894,96715,Poc
6330,124699,Poche
6491,124853,Pogliese
6335,124704,Polčák
6092,96931,Ponga
6753,189490,Popa
5974,96801,Poręba
6700,125706,Pospíšil
6609,124997,Post
6010,96838,Preda
6467,124830,Pretzell
6526,124888,Preuß
6736,185628,Procter
6224,108080,Proust
6728,90110,Punset
1487,1055,Quisthoudt-Rowohl
6488,124850,Radev
6266,112753,Radoš
6750,188945,Radtke
6072,96903,Rangel
5046,23706,Ransdorf
6426,124792,Rebega
6453,124816,Reda
1335,1185,Reding
6136,96998,Regner
6564,106202,Reid
6552,124935,Reimon
6529,103381,Reintke
5347,28225,Reul
6316,124287,Revault D'Allonnes Bonnefoy
6316,124287,Revault d'Allonnes Bonnefoy
6365,124733,Ribeiro
4676,4253,Ries
6056,96885,Riquet
5917,96743,Rivasi
6154,97022,Rochefort
6639,125033,Rodriguez-Rubio
6639,125033,Rodriguez-Rubio Vázquez
6649,125043,Rodríguez-Piñero Fernández
5813,93624,Rodust
5890,96710,Rohde
6684,125107,Rolin
6694,125214,Ropé
6694,125214,Ropė
5512,28394,Rosati
6357,103845,Rozière
6362,124730,Ruas
6718,132366,Ruohonen-Lerner
4596,2278,Rübig
6674,125091,Sakorafa
3991,2002,Salafranca Sánchez-Neyra
6698,125670,Salini
5522,28404,Salvini
6370,24594,Sander
6415,124781,Sant
5987,96815,Sargentini
6259,112611,Sarvamaa
5416,28297,Saryusz-Wolski
6036,96864,Sassoli
5877,96696,Saudargas
4768,4345,Saïfi
6100,96945,Schaake
6389,124755,Schaffhauser
5713,37312,Schaldemose
6758,190517,Schirdewan
6438,124804,Schlein
6619,125016,Schmidt
5837,96646,Scholz
6636,125030,Schreijer-Pierik
3825,1911,Schulz
6443,124809,Schulze
6475,124837,Schuster
5345,28223,Schwab
5265,28135,Schöpflin
6560,124942,Scott Cato
6134,96996,Scottà
6659,125053,Sebastià
5897,96718,Sehnalová
6722,134243,Selimovic
6655,125049,Senra Rodríguez
6428,124794,Sernagiotto
6375,124741,Serrão Santos
6568,124950,Seymour
5111,23787,Siekierski
6381,124747,Silva Pereira
6093,96932,Sippel
5571,28508,Smith
5844,96655,Smolková
6738,185974,Solé
4705,4282,Sommer
6471,124834,Sonneborn
6498,124860,Soru
6174,97170,Sosa Wagner
6768,192298,Sośnierz
6444,124810,Spinelli
6663,125064,Spyraki
4983,4751,Staes
6490,124852,Stanishev
6464,124827,Starbatty
6003,96831,Steinruck
6682,125105,Stevens
6302,119435,Stier
4949,4545,Stihler
5778,39721,Stolojan
6634,125028,Stuger
6320,124688,Stylianides
6546,124928,Sulík
6672,96272,Svoboda
6088,96920,Swinburne
6321,124689,Sylikiotis
6670,125072,Synadinos
6334,124703,Szanyi
6528,124890,Szejnfeld
5143,23821,Szájer
6641,125035,Sánchez Caldentey
5653,33989,Sârbu
5781,39724,Sógor
4482,2187,Tajani
5435,28316,Takkula
6447,124813,Tamburrano
6623,125020,Tang
4925,4521,Tannock
6427,124793,Tapardel
5624,29579,Tarabella
6168,97136,Tarand
6204,102931,Taylor
6337,124706,Telička
6220,107385,Terho
6549,124932,Terricabras
5207,25704,Theocharous
6042,96871,Theurer
6282,114279,Thomas
5949,96776,Thun und Hohenstein
3738,1832,Thyssen
5459,28340,Toia
6733,185340,Tolić
5878,96697,Tomaševski
6300,119431,Tomašić
6681,125104,Tomc
6331,124700,Toom
6716,131749,Torres Martínez
6281,114268,Torvalds
6398,124764,Toti
5892,96713,Tošenovský
6466,124829,Trebesius
6181,97203,Tremosa i Balcells
6392,124758,Troszczynski
5360,28240,Trüpel
4847,4432,Turmes
6518,124880,Tørnæs
6019,96847,Tănăsescu
5783,39726,Tőkés
5113,23791,Ujazdowski
6336,124705,Ujhelyi
5859,96672,Ulvskog
6007,96835,Ungureanu
6715,131507,Urbán Crespo
6591,124972,Urtasun
5734,38601,Urutchev
5879,96698,Uspaskich
5600,28617,Vaidere
6151,97019,Vajgl
6638,125032,Valcárcel
6638,125032,Valcárcel Siso
4757,4334,Valenciano
4757,4334,Valenciano Martínez-Orozco
6605,124993,Valero
6412,124778,Valli
6656,125050,Vallina
6711,117491,Van Bossuyt
4990,5729,Van Brempt
4917,4513,Van Orden
6683,125106,Van Overtveldt
6551,124934,Vana
6706,129164,Vandenkendelaere
6086,96918,Vaughan
6710,130100,Vautmans
6774,193269,Vehkaperä
6030,96858,Vergiat
5930,96756,Verheyen
6159,97058,Verhofstadt
6678,125100,Viegas
6747,188721,Vieu
6610,125001,Vilimsky
6425,124791,Viotti
6356,124726,Virkkunen
6513,124875,Vistisen
6469,124832,Voigt
5934,96761,Voss
6664,125065,Vozemberg
6664,125065,Vozemberg-Vrionidi
5714,37324,Vălean
6757,190464,Waitz
6582,124963,Ward
5947,96774,Wałęsa
6235,111014,Weidenholzer
6542,124903,Wenta
6463,124826,Werner
6011,96839,Westphal
4643,2323,Wieland
6729,183022,Wierinck
5864,96677,Wikström
5698,35743,Willmott
6607,124995,Winberg
6515,124877,Wiśniewska
5108,23784,Wojciechowski
6585,124966,Woolfe
6735,185619,Wölken
6665,125067,Zagorakis
5052,23712,Zahradil
5845,96656,Zala
5936,96763,Zalba Bidegain
6749,188906,Zammit Dimech
6414,124780,Zanni
6434,124800,Zanonato
6673,125090,Zarianopoulos
6344,124713,Zdechovský
6532,124893,Zdrojewski
5935,96762,Zeller
5957,96784,Zemke
6228,103246,Zijlstra
5368,28248,Zimmer
6764,191377,Zoană
6714,131051,Zoffoli
6373,124739,Zorrinho
6734,185341,Zovko
6253,111589,Zuber
6695,125237,Zullo
6094,96933,Zver
5420,28301,Zwiefka
5189,23894,Záborská
5598,28615,Zīle
6522,124884,Złotowski
6630,125025,de Graaff
5511,28393,de Grandes Pascual
5922,96748,de Jong
5727,38398,de Lange
4758,4335,de Sarnez
5508,28390,del Castillo Vera
5013,21918,dos Santos
5385,28266,in 't Veld
6097,96937,van Baalen
5981,96809,van Dalen
6626,125022,van Miltenburg
6621,125019,van Nieuwenhuizen
5295,28165,van Nistelrooij
5928,96754,van de Camp
6462,124825,von Storch
6478,124840,von Weizsäcker
5964,96791,Łukacijewska
6521,124883,Łybacka
6545,124927,Škripek
6390,124756,Škrlec
6341,124710,Šojdrová
6612,125003,Šoltes
6547,124929,Štefanec
6333,124702,Štětina
6301,119434,Šuica
6680,125103,Šulin
6717,131750,Ţurcanu
6541,124902,Żółtek
5602,28619,Ždanoka
6540,124901,Žitňanská
6427,124793,Țapardel
6737,185637,Alex Mayer
6588,124969,Anneliese Dodds
1133,1403,David Martin
6323,124692,Demetris Papadakis
6106,96951,Diane Dodds
6385,124751,Dominique Martin
6565,124947,Edouard Martin
5427,28308,Elisa Ferreira
6627,38511,Georg Mayer
5937,96764,Hermann Winkler
5782,39725,Iuliu Winkler
6326,124695,Jan Keller
1529,1023,Jean-Marie Le Pen
5886,96706,João Ferreira
6676,125093,Konstantinos Papadakis
6677,125099,Liliana Rodrigues
6567,124949,Lucy Anderson
5351,28229,Manfred Weber
5332,28210,Marine Le Pen
6280,113959,Martina Anderson
6584,124965,Nathan Gill
4937,4533,Neena Gill
6008,96836,Peter Simon
5770,39713,Renate Weber
6566,124948,Siôn Simon
5908,96734,Ska Keller
1178,1351,Miguel Arias Cañete
6589,124970,Miriam Dalli
6020,96848,Mariya Gabriel
6766,191693,Elsi Katainen
6203,102887,Béla Kovács
4544,2119,Olli Rehn
4550,2128,Paavo Väyrynen
6371,124737,Maria João Rodrigues
